epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.143,1.5738,2.45983,1.67159,0.00923,0.90647,0.27523,0.1484,1.52971,2.96408,1.78848,0.0004,0.0004,0.0004
2,437.622,1.47619,2.17476,1.62112,0.59543,0.16413,0.24075,0.11394,1.75468,2.87576,2.10436,0.000803764,0.000803764,0.000803764
3,671.052,1.57027,2.1032,1.72531,0.37919,0.22662,0.17533,0.08321,1.88767,3.00154,2.4306,0.0011909,0.0011909,0.0011909
4,913.638,1.60614,2.08854,1.72885,0.24011,0.20863,0.14518,0.05809,1.98239,3.4396,2.76472,0.0015614,0.0015614,0.0015614
5,1145.25,1.64835,2.13814,1.78659,0.15561,0.18705,0.08833,0.03251,2.04921,5.10957,2.78962,0.0018416,0.0018416,0.0018416
6,1357.83,1.63435,2.10024,1.7688,0.26177,0.22302,0.18972,0.08442,2.06617,6.16465,2.5917,0.001802,0.001802,0.001802
7,1536.82,1.63254,2.10652,1.76536,0.3051,0.25899,0.21168,0.09105,2.07443,5.92182,2.44075,0.0017624,0.0017624,0.0017624
8,1716.27,1.63006,2.09791,1.78592,0.24629,0.3115,0.21268,0.09487,2.21195,4.33803,2.57147,0.0017228,0.0017228,0.0017228
9,1893.27,1.57654,2.01361,1.77283,0.38174,0.30576,0.28801,0.14094,1.94228,2.62963,2.39394,0.0016832,0.0016832,0.0016832
10,2069.04,1.54813,1.99761,1.73226,0.31964,0.21942,0.20447,0.08622,2.13482,3.32251,2.57633,0.0016436,0.0016436,0.0016436
11,2245.27,1.56975,2.00119,1.75085,0.41881,0.28417,0.2986,0.14874,1.88415,2.52095,2.17463,0.001604,0.001604,0.001604
12,2425.04,1.57876,1.92989,1.73577,0.36192,0.40398,0.29748,0.14111,1.81071,2.39787,2.04071,0.0015644,0.0015644,0.0015644
13,2604.21,1.53706,1.95088,1.71318,0.46077,0.42086,0.36116,0.1763,1.7582,2.26472,1.95796,0.0015248,0.0015248,0.0015248
14,2775.96,1.53087,1.86284,1.67911,0.34811,0.36691,0.29419,0.14181,1.82616,2.76763,2.13082,0.0014852,0.0014852,0.0014852
15,2917.84,1.52728,1.94408,1.65018,0.50367,0.38129,0.40088,0.20977,1.75528,2.60638,2.01338,0.0014456,0.0014456,0.0014456
16,3061.36,1.46651,1.69001,1.64562,0.46931,0.44604,0.41487,0.21302,1.8115,2.25748,1.98111,0.001406,0.001406,0.001406
17,3207.25,1.47568,1.76416,1.68479,0.43287,0.45851,0.33813,0.16081,1.81276,2.9405,1.98007,0.0013664,0.0013664,0.0013664
18,3350.12,1.41231,1.78095,1.63092,0.46611,0.42082,0.41849,0.22785,1.72592,2.06525,1.92659,0.0013268,0.0013268,0.0013268
19,3494.46,1.43137,1.70441,1.6079,0.48553,0.39209,0.37197,0.17693,1.72151,2.27211,2.04379,0.0012872,0.0012872,0.0012872
20,3636.53,1.45757,1.69752,1.66844,0.49516,0.32374,0.30051,0.15657,1.77798,2.35172,2.1262,0.0012476,0.0012476,0.0012476
21,3777.78,1.38878,1.62802,1.61622,0.53306,0.3778,0.39938,0.20304,1.77519,2.10032,2.05339,0.001208,0.001208,0.001208
22,3924.53,1.33712,1.62012,1.54113,0.4961,0.48164,0.44676,0.25285,1.59234,2.13242,1.85349,0.0011684,0.0011684,0.0011684
23,4071.07,1.39586,1.79621,1.60934,0.55884,0.49212,0.50529,0.29013,1.54235,1.82229,1.78049,0.0011288,0.0011288,0.0011288
